# `n`           a positive integer
# `factorzig`   the prime factors of n, indented by distance from the nearest prime
# `hsum`        the harmonic sum, the sum of the reciprocals of the prime factors of n
# `pi`          the prime counting function π(n), the number of primes less than or equal to n
# `piest`       an estimate of the prime counting function π(n), the number of primes less than or equal to n: n / (log n - 1)
# `riemannr`    the Riemann R function R(n)
# `riemannli`   the logarithmic integral Li(n)
# `cheby`       the Chebyshev θ(n) function, the sum of log p for primes p ≤ n
# `chebypow`    the Chebyshev ψ(n) function, the sum of log p for prime powers p^k ≤ n
# `vonmangoldt` the von Mangoldt function of n, Λ(n)
# `numdiv`      the number of divisors of n, τ(n)
# `sumdiv`      the sum of divisors of n, σ(n)
# `eulertot`    the Euler totient of n, φ(n)
# `carmichael`  the Carmichael function of n, λ(n)
# `dedekind`    the Dedekind ψ(n) function
# `mob`         the Möbius function of n, which is 1 if n is a product of an even number of distinct primes, -1 if odd, and 0 if any prime is repeated
# `numfacs`     the number of distinct prime factors of n, ω(n)
# `totfacs`     the total number of prime factors of n, counting multiplicity, Ω(n)
# `liouville`   the Liouville function of n, λ(n) = (-1)^Ω(n)
# `mertens`     the Mertens function M(n)
# `m*`          the prime residues of n modulo a set of primes
# `psym`        the symmetric primes at equal offsets around n
# `rad`         the radical of n, the product of its unique prime factors
# `mask`        the mask of prime factors (radical) of n, as a string

n,    factorzig,       hsum,     π,   π~,      R,       Li,       θ,        ψ,        Λ,      τ,   σ,     φ,    λ,    Dψ,    μ,   ω,  Ω,  λ,   M,   m2, m3, m5, m7, m11, m13, m17, m19, m23, m29, m31, psym,                              rad,  mask
 282,  2⋅3⋅47,          0.85461,  60,  60.751,  58.895,   65.161,  265.699,  300.374,  0.000,   8,   576,   92,   46,   576,  -1,  3,  3,  -1,  -5,  0,  0,  2,  2,   7,   9,  10,  16,   6,  21,   3, 1 11 25 31 49 55 71 85 …,           282, XX            X
 283, 283,              0.00353,  61,  60.920,  59.066,   65.338,  271.345,  307.020,  5.645,   2,   284,  282,  282,   284,  -1,  1,  1,  -1,  -6,  1,  1,  3,  3,   8,  10,  11,  17,   7,  22,   4, 54 84 90 126 156 174 180 204 …,     283,                                                             X
 284,  2²⋅71,           0.51408,  61,  61.089,  59.236,   65.515,  271.345,  302.374,  0.000,   6,   504,  140,   70,   432,   0,  2,  3,  -1,  -6,  0,  2,  4,  4,   9,  11,  12,  18,   8,  23,   5, 27 33 105 117 135 147 177 183 …,    142, X                  X
 285,   3⋅5⋅19,         0.58596,  61,  61.258,  59.406,   65.692,  271.345,  303.374,  0.000,   8,   480,  144,   36,   479,  -1,  3,  3,  -1,  -7,  1,  0,  0,  5,  10,  12,  13,   0,   9,  24,   6, 8 22 28 46 52 62 74 88 …,           285,  XX    X
 286,    2⋅11⋅13,       0.66783,  61,  61.426,  59.576,   65.869,  271.345,  304.374,  0.000,   8,   504,  120,   60,   503,  -1,  3,  3,  -1,  -8,  0,  1,  1,  6,   0,   0,  14,   1,  10,  25,   7, 45 63 87 93 123 135 147 177 …,      286, X   XX
 287,     7⋅41,         0.16725,  61,  61.595,  59.746,   66.046,  271.345,  305.374,  0.000,   4,   336,  240,  120,   336,   1,  2,  2,   1,  -7,  1,  2,  2,  0,   1,   1,  15,   2,  11,  26,   8, 6 24 30 60 96 114 156 174 …,        287,    X        X
 288,      2⁵⋅3²,       0.83333,  61,  61.763,  59.915,   66.222,  271.345,  306.374,  0.000,  18,   819,   96,   24,   576,   0,  2,  7,  -1,  -7,  0,  0,  3,  1,   2,   2,  16,   3,  12,  27,   9, 5 19 25 49 59 61 65 91 …,             6, XX
 289,     17²,          0.05882,  61,  61.932,  60.085,   66.399,  271.345,  310.207,  2.833,   3,   307,  272,  272,   306,   0,  1,  2,   1,  -7,  1,  1,  4,  2,   3,   3,   0,   4,  13,  28,  10, 18 48 60 78 90 108 132 150 …,        17,       X
 290,    2⋅5⋅29,        0.73448,  61,  62.100,  60.255,   66.575,  271.345,  311.207,  0.000,   8,   540,  112,   28,   540,  -1,  3,  3,  -1,  -8,  0,  2,  0,  3,   4,   4,   1,   5,  14,   0,  11, 21 27 57 63 93 99 111 141 …,        290, X X      X
 291,   3⋅97,           0.34364,  61,  62.268,  60.424,   66.752,  271.345,  312.207,  0.000,   4,   392,  192,   96,   391,   1,  2,  2,   1,  -7,  1,  0,  1,  4,   5,   5,   2,   6,  15,   1,  12, 20 22 40 58 62 68 92 98 …,          291,  X                      X
 292,  2²⋅73,           0.51370,  61,  62.436,  60.594,   66.928,  271.345,  313.207,  0.000,   6,   518,  144,   72,   444,   0,  2,  3,  -1,  -7,  0,  1,  2,  5,   6,   6,   3,   7,  16,   2,  13, 15 21 81 129 141 165 195 231 …,     146, X                   X
 293, 293,              0.00341,  62,  62.605,  60.763,   67.104,  277.025,  319.887,  5.680,   2,   294,  292,  292,   294,  -1,  1,  1,  -1,  -8,  1,  2,  3,  6,   7,   7,   4,   8,  17,   3,  14, 24 54 60 66 96 126 156 186 …,       293,                                                              X
 294,  2⋅3⋅7²,          0.97619,  62,  62.772,  60.932,   67.280,  277.025,  315.207,  0.000,  12,   684,   84,   42,   672,   0,  3,  4,   1,  -8,  0,  0,  4,  0,   8,   8,   5,   9,  18,   4,  15, 13 17 23 37 43 53 55 65 …,           42, XX X
 295,   5⋅59,           0.21695,  62,  62.940,  61.101,   67.456,  277.025,  316.207,  0.000,   4,   360,  232,  116,   359,   1,  2,  2,   1,  -7,  1,  1,  0,  1,   9,   9,   6,  10,  19,   5,  16, 12 18 54 72 84 102 114 138 …,       295,   X             X
 296,    2³⋅37,         0.52703,  62,  63.108,  61.270,   67.632,  277.025,  317.207,  0.000,   8,   570,  144,   36,   455,   0,  2,  4,   1,  -7,  0,  2,  1,  2,  10,  10,   7,  11,  20,   6,  17, 15 57 63 105 123 147 165 183 …,      74, X          X
 297,     3³⋅11,        0.42424,  62,  63.276,  61.439,   67.807,  277.025,  318.207,  0.000,   8,   480,  180,   90,   431,   0,  2,  4,   1,  -7,  1,  0,  2,  3,   0,  11,   8,  12,  21,   7,  18, 14 16 20 34 40 56 70 86 …,           33,  X  X
 298,      2⋅149,       0.50671,  62,  63.443,  61.608,   67.983,  277.025,  319.207,  0.000,   4,   450,  148,  148,   450,   1,  2,  2,   1,  -6,  0,  1,  3,  4,   1,  12,   9,  13,  22,   8,  19, 15 69 75 99 135 141 159 189 …,      298, X                                 X
 299,       13⋅23,      0.12040,  62,  63.611,  61.777,   68.158,  277.025,  320.207,  0.000,   4,   336,  264,  132,   336,   1,  2,  2,   1,  -5,  1,  2,  4,  5,   2,   0,  10,  14,   0,   9,  20, 18 48 60 102 120 132 150 162 …,     299,      X  X
 300,        2²⋅3⋅5²,   1.03333,  62,  63.778,  61.946,   68.334,  277.025,  321.207,  0.000,  18,   868,   80,   20,   720,   0,  3,  5,  -1,  -5,  0,  0,  0,  6,   3,   1,  11,  15,   1,  10,  21, 7 17 31 37 49 59 67 73 …,            30, XXX
 301,       7⋅43,       0.16611,  62,  63.946,  62.114,   68.509,  277.025,  322.207,  0.000,   4,   352,  252,   42,   351,   1,  2,  2,   1,  -4,  1,  1,  1,  0,   4,   2,  12,  16,   2,  11,  22, 30 72 78 108 120 138 162 198 …,     301,    X         X
 302,      2⋅151,       0.50662,  62,  64.113,  62.283,   68.684,  277.025,  323.207,  0.000,   4,   456,  150,  150,   456,   1,  2,  2,   1,  -3,  0,  2,  2,  1,   5,   3,  13,  17,   3,  12,  23, 9 45 51 129 165 189 201 219 …,      302, X                                  X
 303,     3⋅101,        0.34323,  62,  64.280,  62.451,   68.859,  277.025,  324.207,  0.000,   4,   408,  200,  100,   407,   1,  2,  2,   1,  -2,  1,  0,  3,  2,   6,   4,  14,  18,   4,  13,  24, 10 34 46 64 70 76 80 106 …,         303,  X                       X
 304,    2⁴⋅19,         0.55263,  62,  64.447,  62.620,   69.034,  277.025,  325.207,  0.000,  10,   620,  144,   36,   480,   0,  2,  5,  -1,  -2,  0,  1,  4,  3,   7,   5,  15,   0,   5,  14,  25, 27 33 63 75 93 105 153 195 …,        38, X      X
 305,   5⋅61,           0.21639,  62,  64.614,  62.788,   69.209,  277.025,  326.207,  0.000,   4,   372,  240,   60,   372,   1,  2,  2,   1,  -1,  1,  2,  0,  4,   8,   6,  16,   1,   6,  15,  26, 12 42 48 54 78 114 126 138 …,       305,   X              X
 306,  2⋅3²⋅17,         0.89216,  62,  64.781,  62.956,   69.384,  277.025,  327.207,  0.000,  12,   702,   96,   48,   648,   0,  3,  4,   1,  -1,  0,  0,  1,  5,   9,   7,   0,   2,   7,  16,  27, 25 43 67 73 77 83 95 113 …,         102, XX    X
 307, 307,              0.00326,  63,  64.948,  63.124,   69.558,  282.752,  333.934,  5.727,   2,   308,  306,  306,   308,  -1,  1,  1,  -1,  -2,  1,  1,  2,  6,  10,   8,   1,   3,   8,  17,  28, 24 30 66 114 126 150 156 180 …,     307,                                                               X
 308,  2²⋅7⋅11,         0.73377,  63,  65.115,  63.292,   69.733,  282.752,  329.207,  0.000,  12,   672,  120,   30,   575,   0,  3,  4,   1,  -2,  0,  2,  3,  0,   0,   9,   2,   4,   9,  18,  29, 39 45 51 75 81 111 135 141 …,       154, X  XX
 309,   3⋅103,          0.34304,  63,  65.282,  63.460,   69.907,  282.752,  330.207,  0.000,   4,   416,  204,  102,   416,   1,  2,  2,   1,  -1,  1,  0,  4,  1,   1,  10,   3,   5,  10,  19,  30, 2 28 38 40 58 70 80 110 …,          309,  X                        X
 310,  2⋅5⋅31,          0.73226,  63,  65.448,  63.628,   70.082,  282.752,  331.207,  0.000,   8,   576,  120,   60,   576,  -1,  3,  3,  -1,  -2,  0,  1,  0,  2,   2,  11,   4,   6,  11,  20,   0, 3 27 39 69 87 99 111 129 …,         310, X X       X
 311, 311,              0.00322,  64,  65.615,  63.796,   70.256,  288.492,  337.947,  5.740,   2,   312,  310,  310,   312,  -1,  1,  1,  -1,  -3,  1,  2,  1,  3,   3,  12,   5,   7,  12,  21,   1, 42 48 72 78 120 132 138 180 …,      311,                                                                X
 312,  2³⋅3⋅13,         0.91026,  64,  65.781,  63.963,   70.430,  288.492,  333.207,  0.000,  16,   840,   96,   12,   672,   0,  3,  5,  -1,  -3,  0,  0,  2,  4,   4,   0,   6,   8,  13,  22,   2, 1 5 19 35 41 55 61 71 …,             78, XX   X
 313, 313,              0.00319,  65,  65.947,  64.131,   70.604,  294.238,  339.954,  5.746,   2,   314,  312,  312,   314,  -1,  1,  1,  -1,  -4,  1,  1,  3,  5,   5,   1,   7,   9,  14,  23,   3, 36 84 120 150 174 186 210 234 …,    313,                                                                 X
 314,  2⋅157,           0.50637,  65,  66.114,  64.298,   70.778,  294.238,  335.207,  0.000,   4,   474,  156,  156,   473,   1,  2,  2,   1,  -3,  0,  2,  4,  6,   6,   2,   8,  10,  15,  24,   4, 3 33 45 75 87 117 135 147 …,        314, X                                   X
 315,   3²⋅5⋅7,         0.67619,  65,  66.280,  64.466,   70.952,  294.238,  336.207,  0.000,  12,   624,  144,   12,   575,   0,  3,  4,   1,  -3,  1,  0,  0,  0,   7,   3,   9,  11,  16,  25,   5, 2 22 32 34 38 44 52 58 …,           105,  XXX
 316,  2²⋅79,           0.51266,  65,  66.446,  64.633,   71.126,  294.238,  337.207,  0.000,   6,   560,  156,   78,   480,   0,  2,  3,  -1,  -3,  0,  1,  1,  1,   8,   4,  10,  12,  17,  26,   6, 33 93 105 117 123 207 255 285 …,    158, X                    X
 317, 317,              0.00315,  66,  66.612,  64.801,   71.300,  299.997,  343.966,  5.759,   2,   318,  316,  316,   318,  -1,  1,  1,  -1,  -4,  1,  2,  2,  2,   9,   5,  11,  13,  18,  27,   7, 36 66 84 126 144 150 186 204 …,     317,                                                                  X
 318,  2⋅3⋅53,          0.85220,  66,  66.778,  64.968,   71.473,  299.997,  339.207,  0.000,   8,   648,  104,   52,   648,  -1,  3,  3,  -1,  -5,  0,  0,  3,  3,  10,   6,  12,  14,  19,  28,   8, 35 41 49 55 61 79 91 121 …,         318, XX             X
 319,   11⋅29,          0.12539,  66,  66.944,  65.135,   71.647,  299.997,  340.207,  0.000,   4,   360,  280,  140,   359,   1,  2,  2,   1,  -4,  1,  1,  4,  4,   0,   7,  13,  15,  20,   0,   9, 12 48 78 90 120 138 168 180 …,      319,     X    X
 320,    2⁶⋅5,          0.70000,  66,  67.110,  65.302,   71.820,  299.997,  341.207,  0.000,  14,   762,  128,   16,   576,   0,  2,  7,  -1,  -4,  0,  2,  0,  5,   1,   8,  14,  16,  21,   1,  10, 27 39 63 69 81 123 129 141 …,        10, X X
 321,     3⋅107,        0.34268,  66,  67.275,  65.469,   71.993,  299.997,  342.207,  0.000,   4,   432,  212,  106,   431,   1,  2,  2,   1,  -3,  1,  0,  1,  6,   2,   9,  15,  17,  22,   2,  11, 10 28 38 52 58 80 88 98 …,          321,  X                         X
 322,      2⋅7⋅23,      0.68634,  66,  67.441,  65.636,   72.167,  299.997,  343.207,  0.000,   8,   576,  132,   66,   576,  -1,  3,  3,  -1,  -4,  0,  1,  2,  0,   3,  10,  16,  18,   0,   3,  12, 9 15 45 51 99 111 141 165 …,        322, X  X    X
 323,       17⋅19,      0.11146,  66,  67.606,  65.803,   72.340,  299.997,  344.207,  0.000,   4,   360,  288,  144,   360,   1,  2,  2,   1,  -3,  1,  2,  3,  1,   4,  11,   0,   0,   1,   4,  13, 30 60 66 96 126 144 156 186 …,      323,       XX
 324,        2²⋅3⁴,     0.83333,  66,  67.772,  65.969,   72.513,  299.997,  345.207,  0.000,  15,   847,  108,   54,   648,   0,  2,  6,   1,  -3,  0,  0,  4,  2,   5,  12,   1,   1,   2,   5,  14, 7 13 43 55 73 85 95 97 …,             6, XX
 325,       5²⋅13,      0.27692,  66,  67.937,  66.136,   72.686,  299.997,  346.207,  0.000,   6,   434,  240,   60,   419,   0,  2,  3,  -1,  -3,  1,  1,  0,  3,   6,   0,   2,   2,   3,   6,  15, 12 42 48 54 84 96 114 132 …,         65,   X  X
 326,      2⋅163,       0.50613,  66,  68.103,  66.302,   72.859,  299.997,  347.207,  0.000,   4,   492,  162,  162,   492,   1,  2,  2,   1,  -2,  0,  2,  1,  4,   7,   1,   3,   3,   4,   7,  16, 33 57 63 75 93 135 153 177 …,       326, X                                    X
 327,     3⋅109,        0.34251,  66,  68.268,  66.469,   73.031,  299.997,  348.207,  0.000,   4,   440,  216,  108,   439,   1,  2,  2,   1,  -1,  1,  0,  2,  5,   8,   2,   4,   4,   5,   8,  17, 10 20 46 56 70 94 104 116 …,        327,  X                          X
 328,    2³⋅41,         0.52439,  66,  68.433,  66.635,   73.204,  299.997,  349.207,  0.000,   8,   630,  160,   40,   504,   0,  2,  4,   1,  -1,  0,  1,  3,  6,   9,   3,   5,   5,   6,   9,  18, 21 45 51 105 129 135 171 219 …,      82, X           X
 329,   7⋅47,           0.16413,  66,  68.598,  66.802,   73.377,  299.997,  350.207,  0.000,   4,   384,  276,  138,   384,   1,  2,  2,   1,   0,  1,  2,  4,  0,  10,   4,   6,   6,   7,  10,  19, 18 60 72 90 102 132 138 150 …,      329,    X          X
 330,  2⋅3⋅5⋅11,        1.12424,  66,  68.763,  66.968,   73.549,  299.997,  351.207,  0.000,  16,   864,   80,   20,   863,   1,  4,  4,   1,   1,  0,  0,  0,  1,   0,   5,   7,   7,   8,  11,  20, 17 19 23 37 49 53 59 67 …,          330, XXX X
 331, 331,              0.00302,  67,  68.928,  67.134,   73.722,  305.799,  358.009,  5.802,   2,   332,  330,  330,   332,  -1,  1,  1,  -1,   0,  1,  1,  1,  2,   1,   6,   8,   8,   9,  12,  21, 18 48 90 102 108 132 168 192 …,     331,                                                                   X
 332,  2²⋅83,           0.51205,  67,  69.093,  67.300,   73.894,  305.799,  353.207,  0.000,   6,   588,  164,   82,   503,   0,  2,  3,  -1,   0,  0,  2,  2,  3,   2,   7,   9,   9,  10,  13,  22, 15 21 51 69 99 135 159 225 …,       166, X                     X
 333,   3²⋅37,          0.36036,  67,  69.258,  67.466,   74.066,  305.799,  354.207,  0.000,   6,   494,  216,   36,   455,   0,  2,  3,  -1,   0,  1,  0,  3,  4,   3,   8,  10,  10,  11,  14,  23, 16 20 26 40 50 56 64 76 …,          111,  X         X
 334,    2⋅167,         0.50599,  67,  69.422,  67.632,   74.238,  305.799,  355.207,  0.000,   4,   504,  166,  166,   503,   1,  2,  2,   1,   1,  0,  1,  4,  5,   4,   9,  11,  11,  12,  15,  24, 3 63 105 123 153 207 237 267 …,     334, X                                     X
 335,   5⋅67,           0.21493,  67,  69.587,  67.798,   74.410,  305.799,  356.207,  0.000,   4,   408,  264,  132,   408,   1,  2,  2,   1,   2,  1,  2,  0,  6,   5,  10,  12,  12,  13,  16,  25, 18 24 54 66 84 96 108 144 …,        335,   X               X
 336,  2⁴⋅3⋅7,          0.97619,  67,  69.751,  67.964,   74.582,  305.799,  357.207,  0.000,  20,   992,   96,   12,   768,   0,  3,  6,   1,   2,  0,  0,  1,  0,   6,  11,  13,  13,  14,  17,  26, 23 43 53 65 73 85 95 97 …,           42, XX X
 337, 337,              0.00297,  68,  69.916,  68.130,   74.754,  311.619,  364.027,  5.820,   2,   338,  336,  336,   338,  -1,  1,  1,  -1,   1,  1,  1,  2,  1,   7,  12,  14,  14,  15,  18,  27, 30 60 96 126 186 210 234 240 …,     337,                                                                    X
 338,  2⋅13²,           0.57692,  68,  70.080,  68.295,   74.926,  311.619,  359.207,  0.000,   6,   549,  156,  156,   546,   0,  2,  3,  -1,   1,  0,  2,  3,  2,   8,   0,  15,  15,  16,  19,  28, 21 45 81 105 111 141 165 171 …,      26, X    X
 339,   3⋅113,          0.34218,  68,  70.245,  68.461,   75.097,  311.619,  360.207,  0.000,   4,   456,  224,  112,   455,   1,  2,  2,   1,   2,  1,  0,  4,  3,   9,   1,  16,  16,  17,  20,  29, 8 28 58 62 70 82 100 110 …,         339,  X                           X
 340,    2²⋅5⋅17,       0.75882,  68,  70.409,  68.626,   75.269,  311.619,  361.207,  0.000,  12,   756,  128,   16,   648,   0,  3,  4,   1,   2,  0,  1,  0,  4,  10,   2,   0,  17,  18,  21,  30, 9 27 33 57 69 99 117 147 …,         170, X X   X
 341,     11⋅31,        0.12317,  68,  70.573,  68.792,   75.441,  311.619,  362.207,  0.000,   4,   384,  300,   30,   383,   1,  2,  2,   1,   3,  1,  2,  1,  5,   0,   3,   1,  18,  19,  22,   0, 48 60 78 90 102 108 150 162 …,      341,     X     X
 342,      2⋅3²⋅19,     0.88596,  68,  70.737,  68.957,   75.612,  311.619,  363.207,  0.000,  12,   780,  108,   18,   720,   0,  3,  4,   1,   3,  0,  0,  2,  6,   1,   4,   2,   0,  20,  23,   1, 5 11 25 31 59 79 91 101 …,          114, XX     X
 343,     7³,           0.14286,  68,  70.901,  69.122,   75.783,  311.619,  366.153,  1.946,   4,   400,  294,  294,   392,   0,  1,  3,  -1,   3,  1,  1,  3,  0,   2,   5,   3,   1,  21,  24,   2, 6 30 36 66 114 120 144 180 …,         7,    X
 344,    2³⋅43,         0.52326,  68,  71.065,  69.288,   75.955,  311.619,  367.153,  0.000,   8,   660,  168,   42,   528,   0,  2,  4,   1,   3,  0,  2,  4,  1,   3,   6,   4,   2,  22,  25,   3, 75 87 105 117 147 165 177 213 …,     86, X            X
 345,   3⋅5⋅23,         0.57681,  68,  71.229,  69.453,   76.126,  311.619,  368.153,  0.000,   8,   576,  176,   44,   576,  -1,  3,  3,  -1,   2,  1,  0,  0,  2,   4,   7,   5,   3,   0,  26,   4, 8 14 28 34 38 52 64 74 …,           345,  XX     X
 346,  2⋅173,           0.50578,  68,  71.393,  69.618,   76.297,  311.619,  369.153,  0.000,   4,   522,  172,  172,   522,   1,  2,  2,   1,   3,  0,  1,  1,  3,   5,   8,   6,   4,   1,  27,   5, 33 63 75 117 153 195 267 273 …,     346, X                                      X
 347, 347,              0.00288,  69,  71.556,  69.783,   76.468,  317.468,  376.003,  5.849,   2,   348,  346,  346,   348,  -1,  1,  1,  -1,   2,  1,  2,  2,  4,   6,   9,   7,   5,   2,  28,   6, 36 54 84 96 114 120 156 174 …,      347,                                                                     X
 348,  2²⋅3⋅29,         0.86782,  69,  71.720,  69.948,   76.639,  317.468,  371.153,  0.000,  12,   840,  112,   28,   720,   0,  3,  4,   1,   2,  0,  0,  3,  5,   7,  10,   8,   6,   3,   0,   7, 1 11 31 35 41 71 85 91 …,           174, XX       X
 349, 349,              0.00287,  70,  71.884,  70.113,   76.810,  323.323,  378.008,  5.855,   2,   350,  348,  348,   350,  -1,  1,  1,  -1,   1,  1,  1,  4,  6,   8,  11,   9,   7,   4,   1,   8, 18 72 108 138 150 192 198 222 …,    349,                                                                      X
 350,  2⋅5²⋅7,          0.84286,  70,  72.047,  70.277,   76.980,  323.323,  373.153,  0.000,  12,   744,  120,   60,   719,   0,  3,  4,   1,   1,  0,  2,  0,  0,   9,  12,  10,   8,   5,   2,   9, 3 33 39 69 81 93 99 111 …,           70, X XX
 351,   3³⋅13,          0.41026,  70,  72.211,  70.442,   77.151,  323.323,  374.153,  0.000,   8,   560,  216,   36,   503,   0,  2,  4,   1,   1,  1,  0,  1,  1,  10,   0,  11,   9,   6,   3,  10, 2 38 58 68 70 80 82 88 …,            39,  X   X
 352,  2⁵⋅11,           0.59091,  70,  72.374,  70.607,   77.322,  323.323,  375.153,  0.000,  12,   756,  160,   40,   576,   0,  2,  6,   1,   1,  0,  1,  2,  2,   0,   1,  12,  10,   7,   4,  11, 15 21 45 69 81 111 171 189 …,        22, X   X
 353, 353,              0.00283,  71,  72.537,  70.771,   77.492,  329.190,  382.020,  5.866,   2,   354,  352,  352,   354,  -1,  1,  1,  -1,   0,  1,  2,  3,  3,   1,   2,  13,  11,   8,   5,  12, 6 36 90 96 114 126 156 204 …,       353,                                                                       X
 354,  2⋅3⋅59,          0.85028,  71,  72.700,  70.936,   77.663,  329.190,  377.153,  0.000,   8,   720,  116,   58,   720,  -1,  3,  3,  -1,  -1,  0,  0,  4,  4,   2,   3,  14,  12,   9,   6,  13, 5 43 47 77 85 103 113 125 …,        354, XX              X
 355,   5⋅71,           0.21408,  71,  72.864,  71.100,   77.833,  329.190,  378.153,  0.000,   4,   432,  280,  140,   432,   1,  2,  2,   1,   0,  1,  1,  0,  5,   3,   4,  15,  13,  10,   7,  14, 18 24 42 78 84 132 144 192 …,       355,   X                X
 356,    2²⋅89,         0.51124,  71,  73.027,  71.264,   78.003,  329.190,  379.153,  0.000,   6,   630,  176,   88,   540,   0,  2,  3,  -1,   0,  0,  2,  1,  6,   4,   5,  16,  14,  11,   8,  15, 3 45 63 75 87 93 105 123 …,         178, X                      X
 357,   3⋅7⋅17,         0.53501,  71,  73.190,  71.429,   78.173,  329.190,  380.153,  0.000,   8,   576,  192,   48,   576,  -1,  3,  3,  -1,  -1,  1,  0,  2,  0,   5,   6,   0,  15,  12,   9,  16, 10 26 40 44 64 74 76 86 …,          357,  X X  X
 358,  2⋅179,           0.50559,  71,  73.353,  71.593,   78.343,  329.190,  381.153,  0.000,   4,   540,  178,  178,   540,   1,  2,  2,   1,   0,  0,  1,  3,  1,   6,   7,   1,  16,  13,  10,  17, 9 21 51 75 81 129 165 219 …,        358, X                                       X
 359, 359,              0.00279,  72,  73.516,  71.757,   78.513,  335.073,  388.037,  5.883,   2,   360,  358,  358,   360,  -1,  1,  1,  -1,  -1,  1,  2,  4,  2,   7,   8,   2,  17,  14,  11,  18, 42 90 102 108 120 132 162 210 …,    359,                                                                        X
 360,  2³⋅3²⋅5,         1.03333,  72,  73.678,  71.921,   78.683,  335.073,  383.153,  0.000,  24,  1170,   96,   12,   864,   0,  3,  6,   1,  -1,  0,  0,  0,  3,   8,   9,   3,  18,  15,  12,  19, 7 13 23 29 49 79 83 89 …,            30, XXX
 361,   19²,            0.05263,  72,  73.841,  72.085,   78.853,  335.073,  387.098,  2.944,   3,   381,  342,  342,   380,   0,  1,  2,   1,  -1,  1,  1,  1,  4,   9,  10,   4,   0,  16,  13,  20, 12 48 78 138 162 180 210 252 …,      19,        X
 362,    2⋅181,         0.50552,  72,  74.004,  72.249,   79.023,  335.073,  388.098,  0.000,   4,   546,  180,  180,   546,   1,  2,  2,   1,   0,  0,  2,  2,  5,  10,  11,   5,   1,  17,  14,  21, 69 81 99 105 129 195 225 231 …,     362, X                                        X
 363,     3⋅11²,        0.42424,  72,  74.166,  72.413,   79.193,  335.073,  389.098,  0.000,   6,   532,  220,  110,   527,   0,  2,  3,  -1,   0,  1,  0,  3,  6,   0,  12,   6,   2,  18,  15,  22, 4 10 16 26 46 56 70 80 …,            33,  X  X
 364,    2²⋅7⋅13,       0.71978,  72,  74.329,  72.577,   79.362,  335.073,  390.098,  0.000,  12,   784,  144,   12,   672,   0,  3,  4,   1,   0,  0,  1,  4,  0,   1,   0,   7,   3,  19,  16,  23, 15 33 57 93 123 135 183 207 …,      182, X  X X
 365,   5⋅73,           0.21370,  72,  74.491,  72.741,   79.532,  335.073,  391.098,  0.000,   4,   444,  288,   72,   444,   1,  2,  2,   1,   1,  1,  2,  0,  1,   2,   1,   8,   4,  20,  17,  24, 18 54 84 96 102 114 126 138 …,      365,   X                 X
 366,  2⋅3⋅61,          0.84973,  72,  74.654,  72.904,   79.701,  335.073,  392.098,  0.000,   8,   744,  120,   60,   744,  -1,  3,  3,  -1,   0,  0,  0,  1,  2,   3,   2,   9,   5,  21,  18,  25, 7 13 17 35 53 55 73 83 …,           366, XX               X
 367, 367,              0.00272,  73,  74.816,  73.068,   79.871,  340.979,  399.003,  5.905,   2,   368,  366,  366,   368,  -1,  1,  1,  -1,  -1,  1,  1,  2,  3,   4,   3,  10,   6,  22,  19,  26, 30 54 90 96 156 174 204 210 …,      367,                                                                         X
 368,  2⁴⋅23,           0.54348,  73,  74.978,  73.231,   80.040,  340.979,  394.098,  0.000,  10,   744,  176,   44,   576,   0,  2,  5,  -1,  -1,  0,  2,  3,  4,   5,   4,  11,   7,   0,  20,  27, 15 21 51 75 99 111 135 141 …,        46, X       X
 369,   3²⋅41,          0.35772,  73,  75.141,  73.395,   80.209,  340.979,  395.098,  0.000,   6,   546,  240,  120,   503,   0,  2,  3,  -1,  -1,  1,  0,  4,  5,   6,   5,  12,   8,   1,  21,  28, 10 20 32 52 62 88 92 98 …,          123,  X          X
 370,    2⋅5⋅37,        0.72703,  73,  75.303,  73.558,   80.378,  340.979,  396.098,  0.000,   8,   684,  144,   36,   683,  -1,  3,  3,  -1,  -2,  0,  1,  0,  6,   7,   6,  13,   9,   2,  22,  29, 3 39 63 87 93 129 171 177 …,        370, X X        X
 371,   7⋅53,           0.16173,  73,  75.465,  73.722,   80.547,  340.979,  397.098,  0.000,   4,   432,  312,  156,   431,   1,  2,  2,   1,  -1,  1,  2,  1,  0,   8,   7,  14,  10,   3,  23,  30, 12 18 60 78 90 108 120 132 …,       371,    X           X
 372,  2²⋅3⋅31,         0.86559,  73,  75.627,  73.885,   80.716,  340.979,  398.098,  0.000,  12,   896,  120,   30,   768,   0,  3,  4,   1,  -1,  0,  0,  2,  1,   9,   8,  15,  11,   4,  24,   0, 25 59 61 89 91 95 115 131 …,        186, XX        X
 373, 373,              0.00268,  74,  75.789,  74.048,   80.885,  346.900,  405.019,  5.922,   2,   374,  372,  372,   374,  -1,  1,  1,  -1,  -2,  1,  1,  3,  2,  10,   9,  16,  12,   5,  25,   1, 6 24 36 60 66 90 150 174 …,         373,                                                                          X
 374,  2⋅11⋅17,         0.64973,  74,  75.951,  74.211,   81.054,  346.900,  400.098,  0.000,   8,   648,  160,   80,   647,  -1,  3,  3,  -1,  -3,  0,  2,  4,  3,   0,  10,   0,  13,   6,  26,   2, 15 27 57 93 105 117 135 147 …,      374, X   X X
