These are some long Collatz sequences. The tables show the residue vectors of the 2-adic odd cores of n's immediate even neighbors. When combined with k, they completely encode its state, like a fingerprint of n's local arithmetic environment. Considered together they reveal rich information about n.


Collatz orbit of 7:
n,k,m3,m5,m7,m11,m13,m17,m19,m23,m29,m31,m37,m41,m43,m47,m53,m59,m61,m67,m71,m73,comment
117,1,0,2,5,7,0,15,3,2,1,24,6,35,31,23,11,58,56,50,46,44,oc(234)

# 175 (dist 28)
87,1,0,2,3,10,9,2,11,18,0,25,13,5,1,40,34,28,26,20,16,14,oc(174)
11,4,2,1,4,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,oc(176)

# 263 (dist 27)
131,1,2,1,5,10,1,12,17,16,15,7,20,8,2,37,25,13,9,64,60,58,oc(262)
33,3,0,3,5,0,7,16,14,10,4,2,33,33,33,33,33,33,33,33,33,33,oc(264)

# 395 (dist 26)
197,1,2,2,1,10,2,10,7,13,23,11,12,33,25,9,38,20,14,63,55,51,oc(394)
99,2,0,4,1,0,8,14,4,7,12,6,25,17,13,5,46,40,38,32,28,26,oc(396)

# 593 (dist 25)
37,4,1,2,2,4,11,3,18,14,8,6,0,37,37,37,37,37,37,37,37,37,oc(592)
297,1,0,2,3,0,11,8,12,21,7,18,1,10,39,15,32,2,53,29,13,5,oc(594)

# 445 (dist 24)
111,2,0,1,6,1,7,9,16,19,24,18,0,29,25,17,5,52,50,44,40,38,oc(444)
223,1,1,3,6,3,2,2,14,16,20,6,1,18,8,35,11,46,40,22,10,4,oc(446)

# 167 (dist 23)
83,1,2,3,6,6,5,15,7,14,25,21,9,1,40,36,30,24,22,16,12,10,oc(166)
21,3,0,1,0,10,8,4,2,21,21,21,21,21,21,21,21,21,21,21,21,21,oc(168)

# 251 (dist 22)
125,1,2,0,6,4,8,6,11,10,9,1,14,2,39,31,19,7,3,58,54,52,oc(250)
63,2,0,3,0,8,11,12,6,17,5,1,26,22,20,16,10,4,2,63,63,63,oc(252)

# 377 (dist 21)
47,3,2,2,5,3,8,13,9,1,18,16,10,6,4,0,47,47,47,47,47,47,oc(376)
189,1,0,4,0,2,7,2,18,5,15,3,4,25,17,1,30,12,6,55,47,43,oc(378)

# 283 (dist 20)
141,1,0,1,1,9,11,5,8,3,25,17,30,18,12,0,35,23,19,7,70,68,oc(282)
71,2,2,1,1,5,6,3,14,2,13,9,34,30,28,24,18,12,10,4,0,71,oc(284)

# 425 (dist 19)
53,3,2,3,4,9,1,2,15,7,24,22,16,12,10,6,0,53,53,53,53,53,oc(424)
213,1,0,3,3,4,5,9,4,6,10,27,28,8,41,25,1,36,30,12,0,67,oc(426)

# 319 (dist 18)
159,1,0,4,5,5,3,6,7,21,14,4,11,36,30,18,0,41,37,25,17,13,oc(318)
5,6,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,oc(320)

# 479 (dist 17)
239,1,2,4,1,8,5,1,11,9,7,22,17,34,24,4,27,3,56,38,26,20,oc(478)
15,5,0,0,1,4,2,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,oc(480)

# 719 (dist 16)
359,1,2,4,2,7,8,2,17,14,11,18,26,31,15,30,41,5,54,24,4,67,oc(718)
45,4,0,0,3,1,6,11,7,22,16,14,8,4,2,45,45,45,45,45,45,45,oc(720)

# 1079 (dist 15)
539,1,2,4,0,0,6,12,7,10,17,12,21,6,23,22,9,8,51,3,42,28,oc(1078)
135,3,0,0,2,3,5,16,2,20,19,11,24,12,6,41,29,17,13,1,64,62,oc(1080)

# 1619 (dist 14)
809,1,2,4,4,6,3,10,11,4,26,3,32,30,35,10,14,42,16,5,28,6,oc(1618)
405,2,0,0,6,9,2,14,6,14,28,2,35,36,18,29,34,51,39,3,50,40,oc(1620)

# 2429 (dist 13)
607,2,1,2,5,2,9,12,18,9,27,18,15,33,5,43,24,17,58,4,39,23,oc(2428)
1215,1,0,0,4,5,6,8,18,19,26,6,31,26,11,40,49,35,56,9,8,47,oc(2430)

# 911 (dist 12)
455,1,2,0,0,4,0,13,18,18,20,21,11,4,25,32,31,42,28,53,29,17,oc(910)
57,4,0,2,1,2,5,6,0,11,28,26,20,16,14,10,4,57,57,57,57,57,oc(912)

# 1367 (dist 11)
683,1,2,3,4,1,7,3,18,16,16,1,17,27,38,25,47,34,12,13,44,26,oc(1366)
171,3,0,1,3,6,2,1,0,10,26,16,23,7,42,30,12,53,49,37,29,25,oc(1368)

# 2051 (dist 10)
1025,1,2,0,3,2,11,5,18,13,10,2,26,0,36,38,18,22,49,20,31,3,oc(2050)
513,2,0,3,2,7,6,3,0,7,20,17,32,21,40,43,36,41,25,44,16,2,oc(2052)

# 3077 (dist 9)
769,2,1,4,6,10,2,4,9,10,15,25,29,31,38,17,27,2,37,32,59,39,oc(3076)
1539,1,0,4,6,10,5,9,0,21,2,20,22,22,34,35,2,5,14,65,48,6,oc(3078)

# 577 (dist 8)
9,6,0,4,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,oc(576)
289,1,1,4,2,3,3,0,4,13,28,10,30,2,31,7,24,53,45,21,5,70,oc(578)

# 433 (dist 7)
27,4,0,2,6,5,1,10,8,4,27,27,27,27,27,27,27,27,27,27,27,27,oc(432)
217,1,1,2,0,8,9,13,8,10,14,0,32,12,2,29,5,40,34,16,4,71,oc(434)

# 325 (dist 6)
81,2,0,1,4,4,3,13,5,12,23,19,7,40,38,34,28,22,20,14,10,8,oc(324)
163,1,1,3,2,9,7,10,11,2,18,8,15,40,34,22,4,45,41,29,21,17,oc(326)

# 61 (dist 5)
15,2,0,0,1,4,2,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,oc(60)
31,1,1,1,3,9,5,14,12,8,2,0,31,31,31,31,31,31,31,31,31,31,oc(62)

# 23 (dist 4)
11,1,2,1,4,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,oc(22)
3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,oc(24)

# 35 (dist 3)
17,1,2,2,3,6,4,0,17,17,17,17,17,17,17,17,17,17,17,17,17,17,oc(34)
9,2,0,4,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,oc(36)

# 53 (dist 2)
13,2,1,3,6,2,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,oc(52)
27,1,0,2,6,5,1,10,8,4,27,27,27,27,27,27,27,27,27,27,27,27,oc(54)

# 5 (dist 1)
1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,oc(4)
3,1,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,oc(6)
